počty,LCC,řaz1,řaz2,LCC-kategorie,LCC-slovní vyj.,Thema-znak,Thema-slovní vyj. ang.,Sémantická ztráta,pozn.,THEMA do záznamu (znak),THEMA do záznamu (slovně)
79,AE5,AE,5,,(Modern encyclopaedias. By language. - American and English.) - General,GBA,General encyclopaedias,BT,,,
26,AE27,AE,27,,(Modern encyclopaedias. By language). - German,GBA,General encyclopaedias,BT,,,
18,AE51,AE,51,,(Modern encyclopaedias. By language. - Slavic.) - Czech,GBA,General encyclopaedias,BT,,,
1,AE60.S58,AE,60,,(Modern encyclopaedias. By language. - Slavic. - Other Slavic) - Slovak,GBA,General encyclopaedias,BT,,,
1,AE100,AE,100,,Wikipedia,GBA,General encyclopaedias,BT,,,
1,AG5,AG,5,,(Dictionaries. Minor encyklopedias. - Other - American and English) - General,GBA,General encyclopaedias,BT,,,
1,AG27,AG,27,,(Dictionaries. Minor encyklopedias. - Other - ) German,GBA,General encyclopaedias,BT,,,
3,AG51,AG,51,,(Dictionaries. Minor encyklopedias. - Other - Slavic) Czech,GBA,General encyclopaedias,BT,,,
1,AI15,AI,15,,Indexes - By language of index - Slavic,GBCS,"Serials, periodicals, abstracts, indexes",AT,,,
1,AM1,AM,1,,(Museums -) Periodical…,GBCS,"Serials, periodicals, abstracts, indexes",BT,,,
1,AM45.2.P73,AM,45,,Museum… Czech Reoublic…,GLZ,Museology & heritage studies,BT,,,
3,AM101.M86,AM,101,,,GLZ,Museology & heritage studies,BT,,,
6,AM141,AM,141,,Museum… General…,GLZ,Museology & heritage studies,EQS,,,
2,AM145,AM,145,,Museum… Special methods…,GLZ,Museology & heritage studies,BT,,,
2,AM151,AM,151,,Museum… Exhibitons…,GLZ,Museology & heritage studies,BT,,,
1,AP8,AP,8,,Periodicals - English - Asia,GBCS,"Serials, periodicals, abstracts, indexes",BT,,,
1,AP20,AP,20,,Periodicals - French,GBCS,"Serials, periodicals, abstracts, indexes",BT,,,
1,AP30,AP,30,,Periodicals - German,GBCS,"Serials, periodicals, abstracts, indexes",BT,,,
8,AP52,AP,52,,Periodicals - Czech,GBCS,"Serials, periodicals, abstracts, indexes",BT,,,
2,AS2,AS,2,,Serial directories,BGCT,Directories,BT,,,
3,AS4,AS,4,,Individual associations,GTV,Institutions & learned societies: general,BT,,,
2,AS4.U8,AS,4,,UNESCO,LBBU,Public international law: international organizations & institutions,BT,,,
1,AS121,AS,121,,Learned periodicals,GBCS,"Serials, periodicals, abstracts, indexes",BT,,,
2,AS131,AS,131,,Periodicals and documents - learnd societies,GBCS,"Serials, periodicals, abstracts, indexes",BT,,,
3,AS141,AS,141,,Learned periodicals,GBCS,"Serials, periodicals, abstracts, indexes",BT,,,
3,AS142.Č47,AS,142,,Individual societies and institutions,GTV,Institutions & learned societies: general,BT,,,
2,AS142.P73,AS,142,,Individual societies and institutions,GTV,Institutions & learned societies: general,BT,,,
1,AS181,AS,181,,Learned periodicals,GBCS,"Serials, periodicals, abstracts, indexes",BT,,,
2,AS182.B47,AS,182,,Individual societies and institutions,GTV,Institutions & learned societies: general,BT,,,
22,AS182.G68,AS,182,,Individual societies and institutions,GTV,Institutions & learned societies: general,BT,,,
1,AS241,AS,241,,Learned periodicals,GBCS,"Serials, periodicals, abstracts, indexes",BT,,,
1,AS262,AS,262,,Individual societies and institutions,GTV,Institutions & learned societies: general,BT,,,
6,AS343.A1,AS,343,,Learned periodicals,GBCS,"Serials, periodicals, abstracts, indexes",BT,,,
1,AS552.T65,AS,552,,Individual societies and institutions,GTV,Institutions & learned societies: general,BT,,,
1,AS588.2.A1,AS,588,,Individual societies and institutions,GTV,Institutions & learned societies: general,BT,,,
2,AS911.N9,AS,911,,Other ass.,GTV,Institutions & learned societies: general,BT,,,
1,AY828.C75,AY,828,,Almanacs,GBCY,"Yearbooks, annuals, almanacs",BT,,,
1,AZ108,AZ,108,,Symbols,GTT,"Flags, emblems, symbols, logos",EQB,,,
1,AZ195,AZ,195,,History of scholarship…,GTB,History of scholarship (principally of social sciences & humanities),BT,,,
1,B1-5802,B1,-5802,,Philosophy (General),QD,Philosophy,EQT,,,
1,B105.C477,B1,05,,Consciouness,QDTM,Philosophy of mind,BT,,,
3,B105.C74,B1,05,,Creativity,QDTM,Philosophy of mind,BT,,,
