BIC Subject Code is exactly,AND any BIC Subj present with stem ,AND other BIC Subj present is exactly,AND any BIC Qual present with stem ,"AND
BIC Qual present  is exactly","AND
BIC Qual present is exactly ","AND
BIC Qual NOT present","AND
BIC Qual NOT present",>>,Only if input code not yet mapped ,Thema Subj 1,Thema Subj 2,Thema Subj 3,Thema Qual 1,Thema Qual 2,Thema Qual 3,Note,
A,,,,,,,,,,A,,,,,,,
AB,,,,,,,,,,AB,,,,,,,
ABA,,,,,,,,,,ABA,,,,,,,
ABC,,,,,,,,,,ABC,,,,,,,
ABK,,,,,,,,,,ABK,,,,,,,
ABQ,,,,,,,,,,ABQ,,,,,,,
AC,,,,,,,,,,AGA,,,,,,,
ACB,,,,,,,,,,AGA,,,,,,,
ACBK,,,,,,,,,,AGA,,,5PBA,6JN,,,
ACBN,,,,,,,,,,AGA,,,6NA,,,,
ACBP,,JFSR2,,,,,,,,AGA,,,6JL,,,,
ACBP,,,,,,,,,else,AGA,,,1FP,,,,
ACBS,,,,,,,,,,AGA,,,6CP,,,,
ACC,,,,,,,,,,AGA,,,6PJ,,,,
ACG,,,,,,,,,,AGA,,,6CA,,,,
ACK,,,,,,,,,,AGA,,,6MB,,,,
ACN,,,,,,,,,,AGA,,,3KLY,3MD,,,
ACND,,,,,,,,,,AGA,,,6RC,,,,
ACNH,,,,,,,,,,AGA,,,6MA,,,,
ACQ,,,,,,,,,,AGA,,,3MG,3ML,,,
ACQB,,,,,,,,,,AGA,,,6BA,,,,
ACQH,,,,,,,,,,AGA,,,6NH,,,,
ACV,,,,,,,,,,AGA,,,3MN,,,,
ACVC,,,,,,,,,,AGA,,,6RA,,,,
ACVM,,,,,,,,,,AGA,,,6PL,,,,
ACVN,,,,,,,,,,AGA,,,6AF,,,,
ACVT,,,,,,,,,,AGA,,,6JA,6PC,,,
ACVY,,,,,,,,,,AGA,,,6AD,,,,
ACX,,,,,,,,,,AGA,,,3MP,,,,
ACXD,,,,,,,,,,AGA,,,3MPB,,,,
ACXD1,,,,,,,,,,AGA,,,6EF,,,,
ACXD2,,,,,,,,,,AGA,,,6MC,,,,
ACXD3,,,,,,,,,,AGA,,,6AC,,,,
ACXD5,,,,,,,,,,AGA,,,6CB,,,,
ACXD7,,,,,,,,,,AGA,,,6SA,,,,
ACXD9,,,,,,,,,,AGA,,,6AB,,,,
ACXJ,,,,,,,,,,AGA,,,3MPQ,,,,
ACXJ1,,,,,,,,,,AGA,,,6PA,,,,
ACXJ4,,,,,,,,,,AGA,,,6MF,,,,
ACXJ5,,,,,,,,,,AGA,,,6CK,,,,
ACXJ8,,,,,,,,,,AGA,,,6PD,,,,
AF,,,,,,,,,,AF,,,,,,,
AFC,,,,,,,,,,AFC,,,,,,,
AFCC,,,,,,,,,,AFCC,,,,,,,
AFCL,,,,,,,,,,AFCL,,,,,,,
AFF,,,,,,,,,,AFF,,,,,,,
AFH,,,,,,,,,,AFH,,,,,,,
AFJ,,,,,,,,,,AFJ,,,,,,,
AFJD,,,,,,,,,,AFJ,,,,,,,
AFJG,,,,,,,,,,AFJ,,,,,,,
AFK,,,,,,,,,,AFK,,,,,,,
AFKB,,,,,,,,,,AFKB,,,,,,,
AFKC,,,,,,,,,,AFKC,,,,,,,
AFKG,,,,,,,,,,AFKG,,,,,,,
AFKN,,,,,,,,,,AFKN,,,,,,,
AFKP,,,,,,,,,,AFKP,,,,,,,
AFKV,,,,,,,,,,AFKV,,,,,,,
AFP,,,,,,,,,,AFP,,,,,,,
AFPC,,,,,,,,,,AFP,,,,,,,
AFPM,,,,,,,,,,AFP,,,,,,,
AFPS,,,,,,,,,,AFP,,,,,,,
AFT,,,,,,,,,,AFT,,,,,,,
AFTB,,,,,,,,,,AFT,,,6FD,,,,
AFTC,,,,,,,,,,AFT,,,6CC,,,,
AFW,,,,,,,,,,AFW,,,,,,,
AFWD,,,,,,,,,,AFW,,,,,,,
AFWH,,,,,,,,,,AFW,,,,,,,
AFY,,,,,,,,,,AFJY,,,,,,,
AG,,,,,,,,,,AG,,,,,,,
AGB,,,,,,,,,,AGB,,,,,,,
AGC,,,,,,,,,,AGC,,,,,,,
AGH,,,,,,,,,,AGH,,,,,,,
AGHF,,,,,,,,,,AGHF,,,,,,,
AGHN,,,,,,,,,,AGHN,,,,,,,
AGHX,,,,,,,,,,AGHX,,,,,,,
AGK,,,,,,,,,,AGK,,,,,,,
AGN,,,,,,,,,,AGN,,,,,,,
AGNB,,,,,,,,,,AGNB,,,,,,,
AGP,,,,,,,,,,AGP,,,,,,,
AGR,,,,,,,,,,AGR,,,,,,,
AGZ,,,,,,,,,,AGZ,,,,,,,
AJ,,,,,,,,,,AJ,,,,,,,
AJB,,,,,,,,,,AJCD,,,,,,,
AJC,,,,,,,,,,AJC,,,,,,,
AJCP,,,,,,,,,,AJC,,,,,,,
AJCR,,,,,,,,,,AJF,,,,,,,
AJCX,,,,,,,,,,AJCX,,,,,,,
AJG,,,,,,,,,,AJT,,,,,,,
AJR,,,,,,,,,,AJTF,,,,,,,
AJRD,,,,,,,,,,AJTF,,,,,,,
AJRH,,,,,,,,,,AJTV,,,,,,,
AJRK,,,,,,,,,,AJTF,,,,,,,
AK,,,,,,,,,,AK,,,,,,,
AKB,,,,,,,,,,AKB,,,,,,,
AKC,,,,,,,,,,AKC,,,,,,,
AKD,,,,,,,,,,AKD,,,,,,,
AKH,,,,,,,,,,AKH,,,,,,,
AKL,,,,,,,,,,AKL,,,,,,,
AKLB,,,,,,,,,,AKLB,,,,,,,
AKLC,,,,,,,,,,AKLC,,,,,,,
AKLC1,,,,,,,,,,AKLC1,,,,,,,
AKLP,,,,,,,,,,AKLP,,,,,,,
AKP,,,,,,,,,,AKP,,,,,,,
AKR,,,,,,,,,,AKR,,,,,,,
AKT,,,,,,,,,,AKT,,,,,,,
AKTA,,,,,,,,,,AKT,,,,,,,
AKTH,,,,,,,,,,AKT,AGA,,,,,,
AKTX,,,,,,,,,,AKT,,,,,,,
AM,,,,,,,,,,AM,,,,,,,
AMA,,,,,,,,,,AMA,,,,,,,
AMB,,,,,,,,,,AMB,,,,,,,
AMC,,TNK,,,,,,,,AMCM,,,,,,,
AMC,,TNKX,,,,,,,,AMCM,,,,,,,
AMC,,,,,,,,,else,AMC,,,,,,,
AMCR,,,,,,,,,,AMCR,,,,,,,
AMD,,,,,,,,,,AMD,,,,,,,
AMG,,,,,,,,,,AMG,,,,,,,
AMGC,,,,,,,,,,AMG,,,,,,,
AMGD,,,,,,,,,,AMG,,,,,,,
AMK,,,,,,,,,,AMK,,,,,,,
AMKD,,,,,,,,,,AMK,,,,,,,
AMKH,,,,,,,,,,AMKS,,,,,,,
AMKL,,,,,,,,,,AMKL,,,,,,,
AMN,,,,,,,,,,AMN,,,,,,,
AMR,,,,,,,,,,AMR,,,,,,,
AMV,,,,,,,,,,AMV,,,,,,,
AMVD,,,,,,,,,,AMVD,,,,,,,
AMX,,,,,,,,,,AMX,,,,,,,
AN,,,,,,,,,,ATD,,,,,,,
ANB,,,,,,,,,,ATC,ATD,,,,,,
ANC,,,,,,,,,,ATDC,,,,,,,
ANF,,,,,,,,,,ATDF,,,,,,,
ANH,,,,,,,,,,ATDH,,,,,,,
ANS,,,,,,,,,,ATDS,,,,,,,
AP,,,,,,,,,,ATF,ATJ,,,,,,
APB,,,,,,,,,,ATC,,,,,,,
APF,,,,,,,,,,ATF,,,,,,,
APFA,,,,,,,,,,ATFA,,,,,,,
APFB,,,,,,,,,,ATFB,,,,,,,
APFD,,,,,,,,,,ATFD,,,,,,,
APFG,,,,,,,,,,ATFG,,,,,,,
APFN,,,,,,,,,,ATFN,,,,,,,
APFR,,,,,,,,,,ATFR,,,,,,,
APFV,,,,,,,,,,ATFV,,,,,,,
APFX,,,,,,,,,,ATFX,,,,,,,
APT,,,,,,,,,,ATJ,,,,,,,
APTD,,,,,,,,,,ATJD,,,,,,,
